DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2019-01-01,"01","004",223
2019-01-01,"02","004",375
2019-01-01,"03","004",875
2019-01-01,"04","004",349
2019-01-01,"05","004",444
2019-01-01,"06","004",2573
2019-01-01,"07","004",684
2019-01-01,"08","004",237
2019-01-01,"09","004",74
2019-01-01,"11","004",90
2019-01-01,"12","004",541
2019-01-01,"13","004",618
2019-01-01,"14","004",844
2019-01-01,"15","004",1260
2019-01-01,"16","004",2559
2019-01-01,"17","004",358
2019-02-01,"01","004",251
2019-02-01,"02","004",450
2019-02-01,"03","004",1012
2019-02-01,"04","004",373
2019-02-01,"05","004",469
2019-02-01,"06","004",2718
2019-02-01,"07","004",700
2019-02-01,"08","004",216
2019-02-01,"09","004",116
2019-02-01,"11","004",104
2019-02-01,"12","004",632
2019-02-01,"13","004",693
2019-02-01,"14","004",890
2019-02-01,"15","004",1404
2019-02-01,"16","004",2864
2019-02-01,"17","004",408
2019-03-01,"01","004",321
2019-03-01,"02","004",486
2019-03-01,"03","004",1298
2019-03-01,"04","004",454
2019-03-01,"05","004",621
2019-03-01,"06","004",2987
2019-03-01,"07","004",831
2019-03-01,"08","004",241
2019-03-01,"09","004",84
2019-03-01,"11","004",146
2019-03-01,"12","004",729
2019-03-01,"13","004",747
2019-03-01,"14","004",1151
2019-03-01,"15","004",1566
2019-03-01,"16","004",3262
2019-03-01,"17","004",517
2019-04-01,"01","004",413
2019-04-01,"02","004",676
2019-04-01,"03","004",1798
2019-04-01,"04","004",596
2019-04-01,"05","004",776
2019-04-01,"06","004",3660
2019-04-01,"07","004",1129
2019-04-01,"08","004",348
2019-04-01,"09","004",134
2019-04-01,"11","004",155
2019-04-01,"12","004",1055
2019-04-01,"13","004",1011
2019-04-01,"14","004",1457
2019-04-01,"15","004",2228
2019-04-01,"16","004",4422
2019-04-01,"17","004",642
2019-05-01,"01","004",620
2019-05-01,"02","004",1128
2019-05-01,"03","004",2932
2019-05-01,"04","004",972
2019-05-01,"05","004",1256
2019-05-01,"06","004",4960
2019-05-01,"07","004",1465
2019-05-01,"08","004",479
2019-05-01,"09","004",169
2019-05-01,"11","004",219
2019-05-01,"12","004",1568
2019-05-01,"13","004",1559
2019-05-01,"14","004",2213
2019-05-01,"15","004",3369
2019-05-01,"16","004",6992
2019-05-01,"17","004",956
2019-06-01,"01","004",678
2019-06-01,"02","004",1034
2019-06-01,"03","004",2956
2019-06-01,"04","004",841
2019-06-01,"05","004",1283
2019-06-01,"06","004",5401
2019-06-01,"07","004",1523
2019-06-01,"08","004",564
2019-06-01,"09","004",206
2019-06-01,"11","004",229
2019-06-01,"12","004",1609
2019-06-01,"13","004",1685
2019-06-01,"14","004",2305
2019-06-01,"15","004",3605
2019-06-01,"16","004",7457
2019-06-01,"17","004",950
2019-07-01,"01","004",507
2019-07-01,"02","004",881
2019-07-01,"03","004",2014
2019-07-01,"04","004",723
2019-07-01,"05","004",902
2019-07-01,"06","004",4356
2019-07-01,"07","004",1508
2019-07-01,"08","004",536
2019-07-01,"09","004",156
2019-07-01,"11","004",220
2019-07-01,"12","004",1181
2019-07-01,"13","004",1228
2019-07-01,"14","004",1566
2019-07-01,"15","004",2483
2019-07-01,"16","004",5163
2019-07-01,"17","004",620
2019-08-01,"01","004",434
2019-08-01,"02","004",711
2019-08-01,"03","004",1539
2019-08-01,"04","004",521
2019-08-01,"05","004",778
2019-08-01,"06","004",3861
2019-08-01,"07","004",1408
2019-08-01,"08","004",409
2019-08-01,"09","004",142
2019-08-01,"11","004",193
2019-08-01,"12","004",929
2019-08-01,"13","004",1099
2019-08-01,"14","004",1234
2019-08-01,"15","004",2094
2019-08-01,"16","004",4365
2019-08-01,"17","004",562
2019-09-01,"01","004",402
2019-09-01,"02","004",685
2019-09-01,"03","004",1547
2019-09-01,"04","004",590
2019-09-01,"05","004",739
2019-09-01,"06","004",3756
2019-09-01,"07","004",1199
2019-09-01,"08","004",410
2019-09-01,"09","004",107
2019-09-01,"11","004",203
2019-09-01,"12","004",923
2019-09-01,"13","004",1043
2019-09-01,"14","004",1311
2019-09-01,"15","004",2162
2019-09-01,"16","004",4071
2019-09-01,"17","004",594
2019-10-01,"01","004",441
2019-10-01,"02","004",718
2019-10-01,"03","004",1867
2019-10-01,"04","004",641
2019-10-01,"05","004",864
2019-10-01,"06","004",4267
2019-10-01,"07","004",1454
2019-10-01,"08","004",424
2019-10-01,"09","004",144
2019-10-01,"11","004",206
2019-10-01,"12","004",1137
2019-10-01,"13","004",1147
2019-10-01,"14","004",1578
2019-10-01,"15","004",2493
2019-10-01,"16","004",4798
2019-10-01,"17","004",677
2019-11-01,"01","004",398
2019-11-01,"02","004",641
2019-11-01,"03","004",1625
2019-11-01,"04","004",582
2019-11-01,"05","004",772
2019-11-01,"06","004",4108
2019-11-01,"07","004",1349
2019-11-01,"08","004",344
2019-11-01,"09","004",149
2019-11-01,"11","004",190
2019-11-01,"12","004",926
2019-11-01,"13","004",1048
2019-11-01,"14","004",1501
2019-11-01,"15","004",2416
2019-11-01,"16","004",4787
2019-11-01,"17","004",602
2019-12-01,"01","004",406
2019-12-01,"02","004",637
2019-12-01,"03","004",1572
2019-12-01,"04","004",524
2019-12-01,"05","004",704
2019-12-01,"06","004",3930
2019-12-01,"07","004",1092
2019-12-01,"08","004",334
2019-12-01,"09","004",110
2019-12-01,"11","004",157
2019-12-01,"12","004",863
2019-12-01,"13","004",914
2019-12-01,"14","004",1224
2019-12-01,"15","004",2031
2019-12-01,"16","004",3985
2019-12-01,"17","004",485
2020-01-01,"01","004",265
2020-01-01,"02","004",440
2020-01-01,"03","004",1153
2020-01-01,"04","004",445
2020-01-01,"05","004",595
2020-01-01,"06","004",3265
2020-01-01,"07","004",875
2020-01-01,"08","004",224
2020-01-01,"09","004",112
2020-01-01,"11","004",109
2020-01-01,"12","004",674
2020-01-01,"13","004",801
2020-01-01,"14","004",1057
2020-01-01,"15","004",1635
2020-01-01,"16","004",3373
2020-01-01,"17","004",419
2020-02-01,"01","004",291
2020-02-01,"02","004",486
2020-02-01,"03","004",1214
2020-02-01,"04","004",450
2020-02-01,"05","004",594
2020-02-01,"06","004",3361
2020-02-01,"07","004",842
2020-02-01,"08","004",229
2020-02-01,"09","004",92
2020-02-01,"11","004",124
2020-02-01,"12","004",707
2020-02-01,"13","004",861
2020-02-01,"14","004",1116
2020-02-01,"15","004",1770
2020-02-01,"16","004",3480
2020-02-01,"17","004",440
2020-03-01,"01","004",317
2020-03-01,"02","004",538
2020-03-01,"03","004",1548
2020-03-01,"04","004",482
2020-03-01,"05","004",664
2020-03-01,"06","004",3485
2020-03-01,"07","004",993
2020-03-01,"08","004",278
2020-03-01,"09","004",92
2020-03-01,"11","004",117
2020-03-01,"12","004",792
2020-03-01,"13","004",924
2020-03-01,"14","004",1181
2020-03-01,"15","004",1955
2020-03-01,"16","004",4090
2020-03-01,"17","004",539
2020-04-01,"01","004",375
2020-04-01,"02","004",634
2020-04-01,"03","004",1936
2020-04-01,"04","004",616
2020-04-01,"05","004",867
2020-04-01,"06","004",3817
2020-04-01,"07","004",1110
2020-04-01,"08","004",297
2020-04-01,"09","004",111
2020-04-01,"11","004",132
2020-04-01,"12","004",962
2020-04-01,"13","004",1157
2020-04-01,"14","004",1528
2020-04-01,"15","004",2314
2020-04-01,"16","004",4769
2020-04-01,"17","004",604
2020-05-01,"01","004",559
2020-05-01,"02","004",886
2020-05-01,"03","004",3016
2020-05-01,"04","004",757
2020-05-01,"05","004",1130
2020-05-01,"06","004",4049
2020-05-01,"07","004",1283
2020-05-01,"08","004",330
2020-05-01,"09","004",158
2020-05-01,"11","004",159
2020-05-01,"12","004",1555
2020-05-01,"13","004",1190
2020-05-01,"14","004",1941
2020-05-01,"15","004",2851
2020-05-01,"16","004",5937
2020-05-01,"17","004",787
2020-06-01,"01","004",647
2020-06-01,"02","004",1152
2020-06-01,"03","004",3456
2020-06-01,"04","004",944
2020-06-01,"05","004",1422
2020-06-01,"06","004",4769
2020-06-01,"07","004",1618
2020-06-01,"08","004",453
2020-06-01,"09","004",195
2020-06-01,"11","004",220
2020-06-01,"12","004",1715
2020-06-01,"13","004",1500
2020-06-01,"14","004",2431
2020-06-01,"15","004",3672
2020-06-01,"16","004",7607
2020-06-01,"17","004",915
2020-07-01,"01","004",559
2020-07-01,"02","004",967
2020-07-01,"03","004",2271
2020-07-01,"04","004",769
2020-07-01,"05","004",1108
2020-07-01,"06","004",4272
2020-07-01,"07","004",1787
2020-07-01,"08","004",491
2020-07-01,"09","004",206
2020-07-01,"11","004",233
2020-07-01,"12","004",1371
2020-07-01,"13","004",1206
2020-07-01,"14","004",1872
2020-07-01,"15","004",2848
2020-07-01,"16","004",5468
2020-07-01,"17","004",730
2020-08-01,"01","004",451
2020-08-01,"02","004",805
2020-08-01,"03","004",1867
2020-08-01,"04","004",624
2020-08-01,"05","004",892
2020-08-01,"06","004",4114
2020-08-01,"07","004",1744
2020-08-01,"08","004",466
2020-08-01,"09","004",133
2020-08-01,"11","004",192
2020-08-01,"12","004",1045
2020-08-01,"13","004",1106
2020-08-01,"14","004",1633
2020-08-01,"15","004",2773
2020-08-01,"16","004",5143
2020-08-01,"17","004",618
2020-09-01,"01","004",545
2020-09-01,"02","004",854
2020-09-01,"03","004",2127
2020-09-01,"04","004",759
2020-09-01,"05","004",1041
2020-09-01,"06","004",4411
2020-09-01,"07","004",1651
2020-09-01,"08","004",454
2020-09-01,"09","004",180
2020-09-01,"11","004",230
2020-09-01,"12","004",1232
2020-09-01,"13","004",1181
2020-09-01,"14","004",1829
2020-09-01,"15","004",2940
2020-09-01,"16","004",5444
2020-09-01,"17","004",662
2020-10-01,"01","004",562
2020-10-01,"02","004",873
2020-10-01,"03","004",2214
2020-10-01,"04","004",742
2020-10-01,"05","004",1145
2020-10-01,"06","004",4789
2020-10-01,"07","004",1853
2020-10-01,"08","004",434
2020-10-01,"09","004",176
2020-10-01,"11","004",238
2020-10-01,"12","004",1306
2020-10-01,"13","004",1331
2020-10-01,"14","004",2003
2020-10-01,"15","004",3387
2020-10-01,"16","004",5858
2020-10-01,"17","004",786
2020-11-01,"01","004",492
2020-11-01,"02","004",855
2020-11-01,"03","004",2158
2020-11-01,"04","004",732
2020-11-01,"05","004",980
2020-11-01,"06","004",4888
2020-11-01,"07","004",1739
2020-11-01,"08","004",411
2020-11-01,"09","004",161
2020-11-01,"11","004",219
2020-11-01,"12","004",1283
2020-11-01,"13","004",1349
2020-11-01,"14","004",1962
2020-11-01,"15","004",3366
2020-11-01,"16","004",6203
2020-11-01,"17","004",669
2020-12-01,"01","004",418
2020-12-01,"02","004",680
2020-12-01,"03","004",1931
2020-12-01,"04","004",695
2020-12-01,"05","004",991
2020-12-01,"06","004",4699
2020-12-01,"07","004",1483
2020-12-01,"08","004",406
2020-12-01,"09","004",132
2020-12-01,"11","004",175
2020-12-01,"12","004",1074
2020-12-01,"13","004",1124
2020-12-01,"14","004",1782
2020-12-01,"15","004",2846
2020-12-01,"16","004",5231
2020-12-01,"17","004",601
2021-01-01,"01","004",291
2021-01-01,"02","004",537
2021-01-01,"03","004",1510
2021-01-01,"04","004",555
2021-01-01,"05","004",753
2021-01-01,"06","004",3721
2021-01-01,"07","004",1275
2021-01-01,"08","004",271
2021-01-01,"09","004",105
2021-01-01,"11","004",107
2021-01-01,"12","004",764
2021-01-01,"13","004",974
2021-01-01,"14","004",1449
2021-01-01,"15","004",2529
2021-01-01,"16","004",4322
2021-01-01,"17","004",555
2021-02-01,"01","004",343
2021-02-01,"02","004",624
2021-02-01,"03","004",1757
2021-02-01,"04","004",669
2021-02-01,"05","004",864
2021-02-01,"06","004",3975
2021-02-01,"07","004",1298
2021-02-01,"08","004",302
2021-02-01,"09","004",127
2021-02-01,"11","004",141
2021-02-01,"12","004",959
2021-02-01,"13","004",1086
2021-02-01,"14","004",1603
2021-02-01,"15","004",2584
2021-02-01,"16","004",4748
2021-02-01,"17","004",613
2021-03-01,"01","004",425
2021-03-01,"02","004",815
2021-03-01,"03","004",2165
2021-03-01,"04","004",790
2021-03-01,"05","004",1055
2021-03-01,"06","004",4894
2021-03-01,"07","004",1570
2021-03-01,"08","004",357
2021-03-01,"09","004",164
2021-03-01,"11","004",203
2021-03-01,"12","004",1263
2021-03-01,"13","004",1238
2021-03-01,"14","004",1963
2021-03-01,"15","004",3295
2021-03-01,"16","004",5704
2021-03-01,"17","004",736
2021-04-01,"01","004",533
2021-04-01,"02","004",1022
2021-04-01,"03","004",2696
2021-04-01,"04","004",848
2021-04-01,"05","004",1211
2021-04-01,"06","004",4966
2021-04-01,"07","004",1700
2021-04-01,"08","004",467
2021-04-01,"09","004",191
2021-04-01,"11","004",218
2021-04-01,"12","004",1436
2021-04-01,"13","004",1294
2021-04-01,"14","004",2181
2021-04-01,"15","004",3426
2021-04-01,"16","004",6337
2021-04-01,"17","004",888
2021-05-01,"01","004",682
2021-05-01,"02","004",1269
2021-05-01,"03","004",3607
2021-05-01,"04","004",1122
2021-05-01,"05","004",1405
2021-05-01,"06","004",5662
2021-05-01,"07","004",2010
2021-05-01,"08","004",605
2021-05-01,"09","004",255
2021-05-01,"11","004",247
2021-05-01,"12","004",1917
2021-05-01,"13","004",1600
2021-05-01,"14","004",2563
2021-05-01,"15","004",4043
2021-05-01,"16","004",7405
2021-05-01,"17","004",974
2021-06-01,"01","004",883
2021-06-01,"02","004",1567
2021-06-01,"03","004",4213
2021-06-01,"04","004",1312
2021-06-01,"05","004",1744
2021-06-01,"06","004",6504
2021-06-01,"07","004",2268
2021-06-01,"08","004",637
2021-06-01,"09","004",303
2021-06-01,"11","004",291
2021-06-01,"12","004",2309
2021-06-01,"13","004",1748
2021-06-01,"14","004",2996
2021-06-01,"15","004",4830
2021-06-01,"16","004",9615
2021-06-01,"17","004",1207
2021-07-01,"01","004",582
2021-07-01,"02","004",942
2021-07-01,"03","004",2413
2021-07-01,"04","004",854
2021-07-01,"05","004",1086
2021-07-01,"06","004",4808
2021-07-01,"07","004",2032
2021-07-01,"08","004",488
2021-07-01,"09","004",214
2021-07-01,"11","004",213
2021-07-01,"12","004",1224
2021-07-01,"13","004",1299
2021-07-01,"14","004",1947
2021-07-01,"15","004",3060
2021-07-01,"16","004",6210
2021-07-01,"17","004",670
2021-08-01,"01","004",434
2021-08-01,"02","004",799
2021-08-01,"03","004",1890
2021-08-01,"04","004",715
2021-08-01,"05","004",970
2021-08-01,"06","004",4186
2021-08-01,"07","004",1854
2021-08-01,"08","004",377
2021-08-01,"09","004",183
2021-08-01,"11","004",165
2021-08-01,"12","004",1125
2021-08-01,"13","004",1145
2021-08-01,"14","004",1774
2021-08-01,"15","004",2830
2021-08-01,"16","004",5360
2021-08-01,"17","004",742
2021-09-01,"01","004",517
2021-09-01,"02","004",751
2021-09-01,"03","004",1949
2021-09-01,"04","004",782
2021-09-01,"05","004",1086
2021-09-01,"06","004",3968
